category,is_closed,latitude,longitude,name,rating,review_count
bakeries,,34.0789742,-118.361875,Vibrato Grill Jazz,3.5,3587
tradamerican,,34.04641173,-118.2628458,Frog Frozen Yogurt,3.5,2929
burgers,,34.04074,-118.42786,My Ramen Bar,3.5,2804
newamerican,,34.08695394,-118.376753,Aslan Mediterranean Cuisine,3.5,2274
bars,,34.044846,-118.249564,Fresh Corn Grill,3.5,2184
sushi,,34.0498199,-118.25819,Fala Bar,3.5,2082
bars,,34.04493399,-118.2658048,Foodlab,3.5,2593
korean,,34.063681,-118.306458,Cafe Teragram,3.5,2173
gastropubs,,34.09883,-118.32908,C&M Cafe,3.5,1725
pizza,,34.05993083,-118.444317,Monte 52,3.5,2342
burgers,,34.101411,-118.341748,Meea's,3.5,1854
japanese,,34.10144297,-118.3270847,Modern Eats,3.5,1837
newamerican,,34.0728,-118.36878,Gingergrass,3.5,1715
breakfast_brunch,,34.04510085,-118.251948,Terroni Downtown,3.5,1907
korean,,34.10097,-118.29842,The Room Sushi Bar,3.5,2067
asianfusion,,34.04973,-118.23944,Momo Sushi,3.5,1923
ramen,,34.04987591,-118.2423097,Bon Juk,3.5,3010
thai,,34.1014312,-118.3029659,Wexler's Deli,3.5,1469
newamerican,FALSE,34.05651451,-118.415215,,3.5,1365
italian,FALSE,34.0907526,-118.3884163,,3.5,861
newamerican,FALSE,34.06389,-118.36596,,3.5,1376
newamerican,FALSE,34.03046422,-118.3846952,,3.5,5961
newamerican,FALSE,34.10144054,-118.3263161,,3.5,1305
filipino,FALSE,34.09516,-118.28382,,3.5,378
bars,FALSE,34.09777,-118.31923,,3.5,525
thai,FALSE,34.1014312,-118.3029659,,3.5,1469
peruvian,FALSE,34.09592,-118.32643,,3.5,443
tradamerican,FALSE,34.04489,-118.2641735,,3.5,557
burgers,FALSE,34.101411,-118.341748,,3.5,1855
mexican,FALSE,34.04328564,-118.2635612,,3.5,881
newamerican,FALSE,34.102131,-118.336288,,3.5,1831
bars,FALSE,34.06154388,-118.3081416,,3.5,410
gourmet,FALSE,34.059609,-118.419437,,3.5,1940
italian,FALSE,34.10126114,-118.3359833,,3.5,974
newamerican,FALSE,34.08695394,-118.376753,,3.5,2278
thai,FALSE,34.09853771,-118.3040884,,3.5,1927
newamerican,FALSE,34.10500721,-118.3305581,,3.5,445
chinese,FALSE,34.048593,-118.25917,,3.5,1426
cajun,FALSE,34.0254551,-118.327966,,3.5,860
steak,FALSE,34.04766494,-118.2612188,,3.5,1050
mexican,FALSE,34.09779,-118.36872,,3.5,1107
newamerican,FALSE,34.0756,-118.3838849,,3.5,1874
lounges,FALSE,34.12519,-118.26466,,3.5,977
bars,FALSE,34.04493399,-118.2658048,,3.5,2593
cocktailbars,FALSE,34.059017,-118.418861,,3.5,383
gastropubs,FALSE,34.08324,-118.34769,,3.5,648
bars,FALSE,34.04986702,-118.2573908,,3.5,827
steak,FALSE,34.0553,-118.26596,,3.5,1244
seafood,FALSE,34.0445129,-118.2652066,,3.5,1180
bars,FALSE,34.09822693,-118.3228901,,3.5,311
italian,FALSE,34.13465985,-118.3610757,,3.5,877
newamerican,FALSE,34.050802,-118.253996,,3.5,841
brazilian,FALSE,34.0982846,-118.3466992,,3.5,3068
latin,FALSE,34.0777741,-118.2803541,,3.5,651
newamerican,FALSE,34.04430265,-118.2646828,,3.5,2599
mexican,FALSE,34.09769,-118.35205,,3.5,1588
izakaya,FALSE,34.04539672,-118.2383287,,3.5,1410
greek,FALSE,34.07393,-118.32398,,3.5,411
italian,FALSE,34.0719052,-118.3595032,,3.5,493
newamerican,FALSE,34.0599599,-118.41982,,3.5,172
hotdog,FALSE,34.08403,-118.34439,,3.5,7028
gastropubs,FALSE,34.03602,-118.23305,,3.5,765
seafood,FALSE,34.10142181,-118.3259859,,3.5,834
mexican,FALSE,34.0758865,-118.350284,,3.5,861
newamerican,FALSE,34.09960998,-118.3313501,,3.5,391
bbq,FALSE,34.07313758,-118.3595286,,3.5,938
tradamerican,FALSE,34.10538377,-118.3187575,,3.5,476
mexican,FALSE,34.099443,-118.3290012,,3.5,531
japanese,FALSE,34.0492265,-118.2396326,,3.5,1290
italian,FALSE,34.0762749,-118.3555375,,3.5,1113
lounges,FALSE,34.05019119,-118.2569701,,3.5,1547
chinese,FALSE,34.06182,-118.23735,,3.5,1189
musicvenues,FALSE,34.0845188,-118.3612451,,3.5,517
bars,FALSE,34.1116,-118.287737,,3.5,1246
mexican,FALSE,34.07587433,-118.3492203,,3.5,1669
mediterranean,FALSE,34.101978,-118.28705,,3.5,876
asianfusion,FALSE,34.04973,-118.23944,,3.5,1923
mexican,FALSE,34.10743,-118.25441,,3.5,905
latin,FALSE,34.04515746,-118.3284447,,3.5,14
italian,FALSE,34.089478,-118.26812,,3.5,452
sushi,FALSE,34.0487781,-118.2406613,,3.5,1320
japanese,FALSE,34.10144297,-118.3270847,,3.5,1836
italian,FALSE,34.0907745,-118.2779437,,3.5,379
mexican,FALSE,34.05019379,-118.3094025,,3.5,1290
steak,FALSE,34.04270075,-118.2639877,,3.5,656
burgers,FALSE,34.0242256,-118.2846996,,3.5,203
pizza,FALSE,34.009861,-118.3390427,,3.5,886
french,FALSE,34.1054917,-118.3183553,,3.5,524
lounges,FALSE,34.1022651,-118.2917498,,3.5,1221
tradamerican,FALSE,34.0556347,-118.2746478,,3.5,229
ramen,FALSE,34.04987591,-118.2423097,,3.5,3011
mediterranean,FALSE,34.07269,-118.37292,,3.5,137
korean,FALSE,34.0795813,-118.3087635,,3.5,463
mexican,FALSE,34.0571939,-118.2384039,,3.5,930
gastropubs,FALSE,34.09883,-118.32908,,3.5,1725
thai,FALSE,34.07658,-118.3233,,3.5,347
mexican,FALSE,34.04675,-118.28247,,3.5,1004
japanese,FALSE,34.0394075,-118.4303465,,3.5,1012
singaporean,FALSE,34.07172,-118.360257,,3.5,678
desserts,FALSE,34.07014084,-118.3075409,,3.5,1083
newamerican,FALSE,34.101045,-118.3416128,,3.5,265
italian,FALSE,34.0429268,-118.2536696,,3.5,961
japanese,FALSE,34.04883,-118.24147,,3.5,998
thai,FALSE,34.1018894,-118.3059524,,3.5,1360
italian,FALSE,34.05388628,-118.2507203,,3.5,632
mexican,FALSE,34.04371,-118.26393,,3.5,746
asianfusion,FALSE,34.045134,-118.2666712,,3.5,776
noodles,FALSE,34.0255178,-118.2775239,,3.5,205
tradamerican,FALSE,34.0328,-118.34488,,3.5,207
mexican,FALSE,34.056529,-118.344882,,3.5,1596
cocktailbars,FALSE,34.063332,-118.309338,,3.5,271
newamerican,FALSE,34.09447,-118.37434,,3.5,445
colombian,FALSE,34.05124,-118.27332,,3.5,332
japanese,FALSE,34.0441588,-118.2561191,,3.5,313
thai,FALSE,34.02276,-118.40074,,3.5,1280
burgers,FALSE,34.0444029,-118.2560307,,3.5,326
steak,FALSE,34.095603,-118.37238,,3.5,1841
italian,FALSE,34.07567,-118.32328,,3.5,264
peruvian,FALSE,34.0766258,-118.2869568,,3.5,464
newamerican,FALSE,34.05651451,-118.415215,,3.5,1365
italian,FALSE,34.0907526,-118.3884163,,3.5,861
filipino,FALSE,34.09516,-118.28382,,3.5,378
tradamerican,FALSE,34.04489,-118.2641735,,3.5,557
thai,FALSE,34.09853771,-118.3040884,,3.5,1928
cajun,FALSE,34.0254551,-118.327966,,3.5,860
newamerican,FALSE,34.0756,-118.3838849,,3.5,1874
gastropubs,FALSE,34.08324,-118.34769,,3.5,648
newamerican,FALSE,34.0599599,-118.41982,,3.5,172
hotdog,FALSE,34.08403,-118.34439,,3.5,7028
mexican,FALSE,34.0758865,-118.350284,,3.5,861
mexican,FALSE,34.099443,-118.3290012,,3.5,531
musicvenues,FALSE,34.0845188,-118.3612451,,3.5,517
asianfusion,FALSE,34.04973,-118.23944,,3.5,1923
mexican,FALSE,34.10743,-118.25441,,3.5,905
sushi,FALSE,34.0487781,-118.2406613,,3.5,1320
burgers,FALSE,34.0242256,-118.2846996,,3.5,203
pizza,FALSE,34.009861,-118.3390427,,3.5,886
french,FALSE,34.1054917,-118.3183553,,3.5,524
lounges,FALSE,34.1022651,-118.2917498,,3.5,1221
mexican,FALSE,34.0571939,-118.2384039,,3.5,930
mexican,FALSE,34.04675,-118.28247,,3.5,1004
singaporean,FALSE,34.07172,-118.360257,,3.5,679
japanese,FALSE,34.0394075,-118.4303465,,3.5,1012
newamerican,FALSE,34.101045,-118.3416128,,3.5,265
japanese,FALSE,34.04883,-118.24147,,3.5,998
noodles,FALSE,34.0255178,-118.2775239,,3.5,205
mexican,FALSE,34.056529,-118.344882,,3.5,1596
newamerican,FALSE,34.09447,-118.37434,,3.5,445
italian,FALSE,34.07567,-118.32328,,3.5,264
peruvian,FALSE,34.0766258,-118.2869568,,3.5,465
mexican,FALSE,34.05019379,-118.3094025,,3.5,1290
steak,FALSE,34.04270075,-118.2639877,,3.5,657
newamerican,,34.06372,-118.36446,Pizzanista!,4,5
newamerican,,34.06372,-118.36446,Pizzeria Il Fico,4,5
cannabisdispensaries,,34.09266,-118.34442,Yup Dduk La,4,5
cannabisdispensaries,,34.09266,-118.34442,Yxta Cocina Mexicana,4,8
soup,,34.06646855,-118.3093839,Fat Sal's Deli - Hollywood,4,9
newamerican,,34.03414,-118.22965,Ma'am Sir,4,14
bars,,34.101913,-118.336041,République,4,17
bars,,34.101913,-118.336041,Restaurante Tierra Caliente,4,18
bars,,34.101913,-118.336041,Revolutionario: North African Tacos,4,19
mexican,,34.0514859,-118.2179234,The Ramen Joint,4,23
newamerican,,34.09053,-118.29057,Burgerim,4,24
seafood,,34.06107,-118.29325,Bon Temps,4,27
korean,,34.05797,-118.2944,Osteria La Buca,4,32
korean,,34.05797,-118.2944,Osteria Mamma,4,33
tex-mex,,34.023008,-118.39482,Bacari W 3rd,4,42
italian,,34.07657,-118.31101,Beachwood Cafe,4,49
italian,,34.07657,-118.31101,Beelman's,4,49
chinese,,34.02843528,-118.2757835,Bulan Thai Vegetarian Kitchen,4,58
bbq,,34.0421867,-118.3088951,Green Table Cafe,4,62
bbq,,34.0421867,-118.3088951,Grub,4,62
japanese,,34.075135,-118.308649,DTLA RAMEN,4,68
japanese,,34.075135,-118.308649,Duidough Cafe & Cookie Lab,4,68
african,,34.05272,-118.37456,Alcove Café & Bakery,4,69
african,,34.05272,-118.37456,Alchemist Coffee Project,4,71
newamerican,,34.10394,-118.3248,Slab,4,80
peruvian,,34.15009,-118.3781,Yangji Gamjatang,4,88
peruvian,,34.15009,-118.3781,Yangmani,4,89
peruvian,,34.15009,-118.3781,Yard House,4,89
soulfood,,34.05082,-118.36183,Golden State,4,95
korean,,34.0574299,-118.30658,Orochon Ramen,4,103
korean,,34.0574299,-118.30658,Orsa & Winston,4,103
korean,,34.05508861,-118.2919263,Honey Bee's House of Breakfast,4,106
newamerican,,34.09562,-118.29534,Magal BBQ,4,106
ramen,,34.062038,-118.3424849,El Comal,4,108
korean,,34.05508861,-118.2919263,Honey Hi,4,108
newamerican,,34.09562,-118.29534,Maggiano's Little Italy,4,108
newamerican,,34.09562,-118.29534,Majangdong,4,109
burgers,,34.10430207,-118.2915813,Rascal,4,113
