,category,is_closed,latitude,longitude,name,rating,review_count
808,ramen,False,34.10376,-118.3284,Kai Ramen At Joseph's Cafe,4.5,65
809,chicken_wings,False,34.0628631,-118.3062672,Kitchen Sooda,4.0,172
810,sushi,False,34.0753143697871,-118.323578542976,Kiku Sushi,4.0,396
811,desserts,False,34.070140838623,-118.30754089355499,Yellow House Cafe,4.0,1084
812,breakfast_brunch,False,34.08307,-118.28427,Jewel,4.5,193
813,mediterranean,False,34.0725807877071,-118.370591117691,Prime Cutts,4.0,209
814,cafes,False,34.0838349,-118.3692845,Carrera Cafe,4.0,324
815,tradamerican,False,34.1053837710299,-118.318757477583,Franklin & Company Tavern,3.5,476
816,chinese,False,34.048593,-118.25917,Wokcano,3.5,1425
817,mideastern,False,34.0983351,-118.2977342,Lory's Restaurant,4.5,45
818,szechuan,False,34.058603000000005,-118.419048,Meizhou Dongpo Restaurant,3.0,730
819,german,False,34.00413,-118.43102,Rasselbock L.A. Kitchen & Beer Garden,4.0,104
820,korean,False,34.0981349,-118.32749540000002,BIBIBOP Asian Grill,4.0,114
821,newamerican,False,34.073631126623695,-118.36157755208,Tart Restaurant,3.5,1271
822,sushi,False,34.042102813720696,-118.263687133789,Arashi Sushi,4.0,727
823,cafes,False,34.0768811,-118.2580069,Honey Hi,4.5,232
824,cocktailbars,False,34.0479912921288,-118.258466860049,District,4.0,492
825,newamerican,False,34.097646099535396,-118.352917253222,Electric Owl,4.0,323
826,seafood,False,34.0487526,-118.2591268,Seasalt Fish Grill,4.0,778
827,italian,False,34.0978651,-118.3256499,Fabiolus Cucina,4.0,838
828,indpak,False,34.0256549,-118.294352,Himalayan House,4.0,297
829,bbq,False,34.1039347869618,-118.23773860931401,Big Ants BBQ,4.5,90
830,soulfood,False,33.969506,-118.309089,M'Dear's Bakery & Bistro,3.5,265
831,sushi,False,34.0487781,-118.2406613,Kura Revolving Sushi Bar,3.5,1315
832,newamerican,False,34.076269,-118.383588,The Henry,4.0,647
833,mexican,False,34.0245048089441,-118.411181166243,Kogi Taqueria,3.5,560
834,bbq,False,34.0731375814386,-118.359528610238,Wood Ranch BBQ & Grill,3.5,939
835,breakfast_brunch,False,34.02876,-118.27517,Jacks N Joe,4.0,2009
836,mediterranean,False,34.0982591211858,-118.36065920291,Zankou Chicken,4.0,390
837,tradamerican,False,34.0556347,-118.27464779999998,Diamond Buffet & Grill,3.5,229
838,seafood,False,34.0515515,-118.2534951,Pez Cantina,4.0,842
839,mexican,False,34.047068100000004,-118.2843635,Happy Taco,4.0,365
840,latin,False,34.03904,-118.30941,Sabor Nicaragüense Restaurant,4.5,61
841,mexican,False,34.033920157678104,-118.29148504989,La Barca Restaurant,4.0,827
842,pizza,False,34.06188,-118.34278,Apollonia's Pizzeria,4.0,389
843,italian,False,34.051928886639196,-118.384493526285,Trattoria Bella Roma,4.5,502
844,bars,False,34.098226925552105,-118.32289011904899,Paley,3.5,311
845,mexican,False,34.00225,-118.26484,Mariscos La Corita,4.5,100
846,mideastern,False,34.044814,-118.25666,The Exchange Restaurant,4.0,344
