,Unnamed: 0,category,is_closed,latitude,longitude,name,rating,review_count,district
1159,1159,chicken_wings,False,33.95968,-118.31648,Wings & Pot,4.0,225,westmont
1160,1160,korean,False,34.04777,-118.25684,Koja Kitchen DTLA,4.5,46,los angeles
1161,1161,seafood,False,34.07649,-118.30151000000001,Alaska Seafood,4.5,127,west hollywood
1162,1162,tradamerican,False,34.04489,-118.26417350000001,Shaquille’s,3.5,553,los angeles
1163,1163,mediterranean,False,34.0249037,-118.28459609999999,CAVA,4.0,177,los angeles
1164,1164,korean,False,34.069114899999995,-118.3073944,Zzamong,4.0,852,west hollywood
1165,1165,seafood,False,34.063452000000005,-118.29904599999999,EMC Seafood & Raw Bar,4.0,3155,los angeles
1166,1166,burgers,False,34.083851,-118.34803259999998,MJ's Grill,4.5,51,west hollywood
1167,1167,breweries,False,34.0479563134481,-118.256189231247,Karl Strauss Brewing Company,4.5,654,los angeles
1168,1168,beerbar,False,34.06139,-118.3007,The 8th Notch,4.5,98,los angeles
1169,1169,chinese,False,34.061820000000004,-118.23735,Won Kok Restaurant,3.5,1189,los angeles
1170,1170,cheesesteaks,False,34.095845000000004,-118.287102,Boo's Philly Cheesesteaks - Silverlake,4.5,1056,glendale
1171,1171,cocktailbars,False,34.0637,-118.30821999999999,Here's Looking At You,4.0,461,west hollywood
1172,1172,italian,False,34.0711906,-118.35994170000001,Andre's Italian Restaurant,4.0,1164,west hollywood
1173,1173,bubbletea,False,34.072952859299896,-118.375559776552,Berlins,4.5,916,west hollywood
1174,1174,mexican,False,34.0807951106153,-118.386972025037,Gracias Madre,4.0,3977,beverly hills
1175,1175,coffee,False,34.08358629999999,-118.3623821,Crumbs & Whiskers - Kitten & Cat Cafe,4.5,427,west hollywood
1176,1176,sandwiches,False,34.0995400448557,-118.32916957081899,Banh Oui,4.5,151,west hollywood
1177,1177,bars,False,34.0449339896765,-118.265804750686,Yard House,3.5,2593,los angeles
1178,1178,chinese,False,34.05239,-118.30341999999999,Young King,4.0,540,los angeles
1179,1179,newamerican,False,34.0771299,-118.38068,GRANVILLE,4.5,1150,beverly hills
1180,1180,cafes,False,34.113971015122296,-118.307670183713,The Trails,4.0,584,west hollywood
1181,1181,breweries,False,34.06469,-118.34368,6th & La Brea Brewery & Restaurant,4.0,299,west hollywood
1182,1182,izakaya,False,34.0617703930376,-118.311040486404,Shuto Izakaya,4.5,64,west hollywood
1183,1183,seafood,False,34.06355,-118.28741000000001,Oh My Crab,4.0,16,los angeles
1184,1184,coffee,False,33.957594,-118.39453600000002,The Coffee Company,4.0,1441,inglewood
1185,1185,ethiopian,False,34.056709999999995,-118.36483,Meals by Genet,4.5,727,west hollywood
1186,1186,butcher,False,34.09764000000001,-118.3334,Gwen Butcher Shop,4.0,528,west hollywood
1187,1187,asianfusion,False,34.099894275896695,-118.33059072457199,TAO Asian Bistro,4.0,899,west hollywood
1188,1188,indpak,False,34.083659999999995,-118.34326999999999,Anarkali Indian Restaurant,4.0,2530,west hollywood
1189,1189,newamerican,False,34.102131,-118.33628799999998,Beetle House LA,3.5,1829,west hollywood
1190,1190,coffee,False,34.060212,-118.29132800000001,Alchemist Coffee Project,4.5,1059,los angeles
1191,1191,modern_european,False,34.04704,-118.25593,V,4.5,37,los angeles
1192,1192,japanese,False,34.047090000000004,-118.24865,Yuko Kitchen,4.5,286,los angeles
1193,1193,breakfast_brunch,False,34.04676,-118.25098999999999,Blu Jam Cafe,4.0,923,los angeles
1194,1194,hotdog,False,34.0156233070285,-118.334755915362,Earle's On Crenshaw,4.5,342,inglewood
1195,1195,cannabisdispensaries,False,34.092659999999995,-118.34442,Lowell Farms: A Cannabis Cafe,4.5,6,west hollywood
